Frame,ID,Landmark,LandmarkApears,BodyPart,RightLeftKeyLandmark,KeyLandmark,Pose_X,Pose_Y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max
0,1,nose,True,face,nose,nose,896,198,804,139,1035,628
0,1,left_eye,True,face,eye,eye,911,189,804,139,1035,628
0,1,right_eye,True,face,eye,eye,890,185,804,139,1035,628
0,1,left_ear,True,face,ear,ear,945,195,804,139,1035,628
0,1,right_ear,True,face,ear,ear,885,186,804,139,1035,628
0,1,left_shoulder,True,upper_limbs,left_hand,hand,978,254,804,139,1035,628
0,1,right_shoulder,True,upper_limbs,right_hand,hand,861,253,804,139,1035,628
0,1,left_elbow,True,upper_limbs,left_hand,hand,1008,339,804,139,1035,628
0,1,right_elbow,True,upper_limbs,right_hand,hand,828,348,804,139,1035,628
0,1,left_wrist,True,upper_limbs,left_hand,hand,1010,408,804,139,1035,628
0,1,right_wrist,True,upper_limbs,right_hand,hand,845,425,804,139,1035,628
0,1,left_hip,True,lower_limbs,left_foot,foot,959,390,804,139,1035,628
0,1,right_hip,True,lower_limbs,right_foot,foot,883,391,804,139,1035,628
0,1,left_knee,True,lower_limbs,left_foot,foot,998,446,804,139,1035,628
0,1,right_knee,True,lower_limbs,right_foot,foot,891,445,804,139,1035,628
0,1,left_ankle,True,lower_limbs,left_foot,foot,977,582,804,139,1035,628
0,1,right_ankle,True,lower_limbs,right_foot,foot,891,595,804,139,1035,628
0,2,nose,True,face,nose,nose,471,197,403,148,566,627
0,2,left_eye,True,face,eye,eye,484,187,403,148,566,627
0,2,right_eye,True,face,eye,eye,462,186,403,148,566,627
0,2,left_ear,True,face,ear,ear,509,197,403,148,566,627
0,2,right_ear,True,face,ear,ear,451,196,403,148,566,627
0,2,left_shoulder,True,upper_limbs,left_hand,hand,539,267,403,148,566,627
0,2,right_shoulder,True,upper_limbs,right_hand,hand,430,267,403,148,566,627
0,2,left_elbow,True,upper_limbs,left_hand,hand,546,359,403,148,566,627
0,2,right_elbow,True,upper_limbs,right_hand,hand,431,361,403,148,566,627
0,2,left_wrist,True,upper_limbs,left_hand,hand,509,409,403,148,566,627
0,2,right_wrist,True,upper_limbs,right_hand,hand,474,410,403,148,566,627
0,2,left_hip,True,lower_limbs,left_foot,foot,525,407,403,148,566,627
0,2,right_hip,True,lower_limbs,right_foot,foot,457,408,403,148,566,627
0,2,left_knee,True,lower_limbs,left_foot,foot,532,460,403,148,566,627
0,2,right_knee,True,lower_limbs,right_foot,foot,484,459,403,148,566,627
0,2,left_ankle,True,lower_limbs,left_foot,foot,504,579,403,148,566,627
0,2,right_ankle,True,lower_limbs,right_foot,foot,529,578,403,148,566,627
0,3,nose,True,face,nose,nose,701,204,600,136,812,620
0,3,left_eye,True,face,eye,eye,713,194,600,136,812,620
0,3,right_eye,True,face,eye,eye,690,190,600,136,812,620
0,3,left_ear,True,face,ear,ear,727,196,600,136,812,620
0,3,right_ear,True,face,ear,ear,671,188,600,136,812,620
0,3,left_shoulder,True,upper_limbs,left_hand,hand,766,261,600,136,812,620
